_id,Frequency,Min Still_confidence,Max Still_confidence,Average Still_confidence,Still_confidence Std Dev,Min On_foot_confidence,Max On_foot_confidence,Average On_foot_confidence,On_foot_confidence Std Dev,Min Walking_confidence,Max Walking_confidence,Average Walking_confidence,Walking_confidence Std Dev,Min Running_confidence,Max Running_confidence,Average Running_confidence,Running_confidence Std Dev,Min On_bicycle_confidence,Max On_bicycle_confidence,Average On_bicycle_confidence,On_bicycle_confidence Std Dev,Min In_vehicle_confidence,Max In_vehicle_confidence,Average In_vehicle_confidence,In_vehicle_confidence Std Dev,Min Tilting_confidence,Max Tilting_confidence,Average Tilting_confidence,Tilting_confidence Std Dev,Min Unknown_confidence,Max Unknown_confidence,Average Unknown_confidence,Unknown_confidence Std Dev,Min X
,1801,0.0,100.0,33.58523042754025,44.09062122649739,0.0,100.0,29.824541921154914,42.45406803799262,0.0,100.0,20.541365907828983,35.86097506503614,0.0,100.0,9.289838978345363,26.963943515197943,0.0,57.0,3.980011104941699,8.193362801878612,0.0,100.0,26.16657412548584,37.95910909415211,0.0,100.0,1.665741254858412,12.798415197113425,0.0,81.0,4.886729594669628,10.908505787758024,
,Query Execution Time (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038034677505493164
