recording_id,Total File Size (MB)_raw,User,Total File Size (MB)_mongo
,,Unknown User,0.0012416839599609375
User1,11762.32,User1,118.45960998535156
User2,9279.22,User2,106.76066207885742
User3,8727.0,User3,89.53517532348633
